library,year,tickets
BPL Circulating,2013,0
BPL Circulating,2014,3
BPL Circulating,2015,18
BPL Circulating,2016,142
BPL Circulating,2017,107
BPL Circulating,2018,46
BPL Circulating,2019,97
BPL Circulating,2020,22
NYPL Circulating,2013,0
NYPL Circulating,2014,16
NYPL Circulating,2015,70
NYPL Circulating,2016,209
NYPL Circulating,2017,154
NYPL Circulating,2018,80
NYPL Circulating,2019,91
NYPL Circulating,2020,23
NYPL Research,2013,0
NYPL Research,2014,7
NYPL Research,2015,15
NYPL Research,2016,36
NYPL Research,2017,38
NYPL Research,2018,42
NYPL Research,2019,72
NYPL Research,2020,10
